ID,session_type,type
219141332870323,bilendi,success
217376022613160,bilendi,success
217376022549706,bilendi,screen out
219141332640880,bilendi,success
219141332558079,bilendi,success
219141332304101,bilendi,success
219141332411489,bilendi,screen out
219141332994059,bilendi,success
219141332577307,bilendi,success
219141332215929,bilendi,success
219141332532449,bilendi,success
217376022133889,bilendi,success
219141332299998,bilendi,success
219141332998163,bilendi,success
219141332292828,bilendi,success
219141332368428,bilendi,success
219141332416615,bilendi,success
217376023044223,bilendi,success
219141332265136,bilendi,success
219141332233357,bilendi,success
219141332316403,bilendi,success
219141332420718,bilendi,screen out
217376023020585,bilendi,success
219141332228231,bilendi,screen out
219141332678805,bilendi,success
219141332971701,bilendi,screen out
219141333029987,bilendi,success
219141332323581,bilendi,success
217376023043188,bilendi,success
219141332274366,bilendi,success
219141332265137,bilendi,screen out
217376022666299,bilendi,success
219141333036143,bilendi,success
217376023043192,bilendi,success
219141332347924,bilendi,success
217376022819911,bilendi,success
219141332230283,bilendi,success
217376021933132,bilendi,success
219141332357149,bilendi,success
219141332251804,bilendi,screen out
219141332281547,bilendi,success
219141332638829,bilendi,screen out
