timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match,trial_type,available_trial_type,in_lab
"f0d4ddf54c4ffd5948f0caaf11b0b5726186be40f1415dab4a28fb3620902318 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,10,left,left,neutral,true,t,1,0
"703bf85961a138dc315a4db488a72c32542f1ad6a3c16b9893fc7be6a633b561 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,11,right,right,neutral,true,t,1,0
"c23f184d6038c684c1a21c351d34dd87f6d9fe92a16d9610624768da21bbfa1d Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,12,left,right,erotic,false,t,1,0
"a046bc4ee746c42f0084982d3e1209654086877bd8da98456a4962e4965807f1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,13,right,right,erotic,true,t,1,0
"880e89adb922ab53911b39d99c39583a717b4331831fd9ae7a4466746ad709ae Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,14,right,left,neutral,false,t,1,0
"0bb68ac3e5532adbe34c3d22dfab791a1281d5dbd4934cc1f9a6f743373ce41f Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,15,right,left,erotic,false,t,1,0
"3eeda2b936f8eefc37570842e1a47813bc1cc8b33500ea01cc7b1376c6c8203d Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,16,right,left,neutral,false,t,1,0
"798286d6ccc37d9eb1bae5e0f862f425c418bed715434b8e5d595fa35f5c17a1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,17,right,right,erotic,true,t,1,0
"e1643f2dba5049b106086e8996ca79c3a8043b281336350f90f10f5db101ce0c Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",376ee1d9-e74f-4d30-8159-797a43588165,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"21c5a3629ec6f0ae91053d56f25272f2a33570e47556fdedf1711207d42f2c3e Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,18,left,left,neutral,true,t,1,0
"8eccb188ac7c29c3a502570d9937e364dafcfc8dcb88a7fb757b7f91efecf4ba Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,19,left,right,erotic,false,t,1,0
"f48db7939372a481ea9918b1f2443266bbb82369cd9ab769dc17ebe0deb4bb9d Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,20,right,right,erotic,true,t,1,0
"136f8947cbe8dc0f2e5fd8acaf84d158c9e007086ed0bff330df9dcf60040f38 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,21,left,left,neutral,true,t,1,0
"4d9df5caec91210176f9410a4b692c0ef523cfedd3ba09cd4a243a883ea81191 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,22,right,left,neutral,false,t,1,0
